Species,Trait Type,p,h2,Q,m,means,mean increase,sd,Dunnett_Pvalue_adj
Maize,Two,10,0.5,0.5,2,0.333473113,-0.107035212,0.04950459,0
Maize,Two,10,0.5,0.5,3,0.355070511,-0.085437814,0.048879472,0
Maize,Two,10,0.5,0.5,5,0.373167668,-0.067340657,0.050741615,0
Maize,Two,10,0.5,0.5,10,0.415903711,-0.024604615,0.02206412,0.000365953
Maize,Two,10,0.5,0.5,25,0.434544214,-0.005964111,0.009516188,0.888855174
Maize,Two,10,0.5,0.5,50,0.439676148,-0.000832178,0.006589079,0.999999882
Maize,Two,10,0.5,0.5,100,0.438648118,-0.001860208,0.007393306,0.999938573
Maize,Two,25,0.5,0.5,0,0.276552619,0,0,0
Maize,Two,25,0.5,0.5,1,-0.174471726,-0.451024345,0,0
Maize,Two,25,0.5,0.5,2,-0.174471726,-0.451024345,0,0
Maize,Two,25,0.5,0.5,3,0.018357315,-0.258195305,0.12491056,0
Maize,Two,25,0.5,0.5,5,0.139594215,-0.136958404,0.100229313,0
Maize,Two,25,0.5,0.5,10,0.194828311,-0.081724308,0.070847391,1.83E-10
Maize,Two,25,0.5,0.5,25,0.217232224,-0.059320396,0.064837239,9.32E-06
Maize,Two,25,0.5,0.5,50,0.256751569,-0.01980105,0.031964913,0.466410669
Maize,Two,25,0.5,0.5,100,0.2684996,-0.008053019,0.018667384,0.991855096
Maize,Two,25,0.5,0.5,250,0.271777722,-0.004774898,0.011009809,0.999848006
Maize,Two,100,0.5,0.5,0,0.446145041,0,0,0
Maize,Two,100,0.5,0.5,1,0.175423297,-0.270721744,0.048961919,0
Maize,Two,100,0.5,0.5,2,0.208231879,-0.237913162,0.075598808,0
Maize,Two,100,0.5,0.5,3,0.259266012,-0.186879029,0.084261532,1.11E-16
Maize,Two,100,0.5,0.5,5,0.286566227,-0.159578814,0.059793864,1.06E-13
Maize,Two,100,0.5,0.5,10,0.322703192,-0.12344185,0.016069811,6.94E-09
Maize,Two,100,0.5,0.5,25,0.366586225,-0.079558816,0.030949739,0.000359284
Maize,Two,100,0.5,0.5,50,0.411106158,-0.035038884,0.030262332,0.325975046
Maize,Two,100,0.5,0.5,100,0.436015515,-0.010129526,0.011428821,0.998107816
Maize,Two,100,0.5,0.5,250,0.440865064,-0.005279978,0.004791799,0.999990402
Maize,Two,2,0.5,0.9,0,0.052731235,0,0,0
Maize,Two,2,0.5,0.9,1,0.04090769,-0.011823545,0.014449458,0.000280607
Maize,Two,2,0.5,0.9,2,0.03889393,-0.013837305,0.014879539,1.13E-05
Maize,Two,2,0.5,0.9,3,0.041251364,-0.011479871,0.015090182,0.000429854
Maize,Two,2,0.5,0.9,5,0.044870412,-0.007860823,0.015115961,0.033528947
Maize,Two,2,0.5,0.9,10,0.046542252,-0.006188983,0.017187353,0.141483745
Maize,Two,2,0.5,0.9,25,0.05041922,-0.002312016,0.016463131,0.923122408
Maize,Two,3,0.5,0.9,0,0.211227475,0,0,0
Maize,Two,3,0.5,0.9,1,0.132317156,-0.078910319,0.014536274,0
Maize,Two,3,0.5,0.9,2,0.132713689,-0.078513787,0.026138862,0
Maize,Two,3,0.5,0.9,3,0.148376012,-0.062851463,0.025332773,0
Maize,Two,3,0.5,0.9,5,0.169580356,-0.041647119,0.027412155,0
Maize,Two,3,0.5,0.9,10,0.194577976,-0.016649499,0.017416428,0.000203847
Maize,Two,3,0.5,0.9,25,0.201217272,-0.010010203,0.013787927,0.059816015
Maize,Two,5,0.5,0.9,0,0.360677208,0,0,0
Maize,Two,5,0.5,0.9,1,0.034344488,-0.32633272,0,0
Maize,Two,5,0.5,0.9,2,0.203012217,-0.157664991,0.008204495,0
Maize,Two,5,0.5,0.9,3,0.204384574,-0.156292634,0.011765621,0
Maize,Two,5,0.5,0.9,5,0.233250326,-0.127426881,0.022940033,0
Maize,Two,5,0.5,0.9,10,0.248961561,-0.111715646,0.028287076,0
Maize,Two,5,0.5,0.9,25,0.303566842,-0.057110365,0.035160055,0
Maize,Two,5,0.5,0.9,50,0.346123817,-0.014553391,0.016561158,0.001402471
Maize,Two,10,0.5,0.9,0,0.330096673,0,0,0
Maize,Two,10,0.5,0.9,1,0.317251789,-0.012844884,0.009767902,1.88E-09
Maize,Two,10,0.5,0.9,2,0.316771249,-0.013325424,0.011811627,8.62E-10
Maize,Two,10,0.5,0.9,3,0.315768794,-0.014327879,0.012614293,2.17E-11
Maize,Two,10,0.5,0.9,5,0.315138026,-0.014958647,0.01247892,2.22E-12
Maize,Two,10,0.5,0.9,10,0.31569511,-0.014401563,0.011320748,9.32E-12
Maize,Two,10,0.5,0.9,25,0.315254369,-0.014842304,0.009417398,3.60E-12
Maize,Two,10,0.5,0.9,50,0.318528167,-0.011568506,0.008535123,6.62E-08
Maize,Two,10,0.5,0.9,100,0.32177777,-0.008318903,0.007768383,0.000305955
Maize,Two,25,0.5,0.9,0,0.305801469,0,0,0
Maize,Two,25,0.5,0.9,1,0.181780735,-0.124020735,0.049475227,0
Maize,Two,25,0.5,0.9,2,0.124628612,-0.181172857,0.058928999,0
Maize,Two,25,0.5,0.9,3,0.033361637,-0.272439833,0.072950364,0
Maize,Two,25,0.5,0.9,5,-0.004982098,-0.310783567,0.051794009,0
Maize,Two,25,0.5,0.9,10,-0.026713806,-0.332515275,0.022479733,0
Maize,Two,25,0.5,0.9,25,0.075470289,-0.23033118,0.095085581,0
Maize,Two,25,0.5,0.9,50,0.260048142,-0.045753328,0.062197201,0.000130554
Maize,Two,25,0.5,0.9,100,0.299608077,-0.006193392,0.008682622,0.996567704
Maize,Two,25,0.5,0.9,250,0.300411012,-0.005390457,0.006145423,0.998784869
Maize,Two,100,0.5,0.9,0,0.280619514,0,0,0
Maize,Two,100,0.5,0.9,1,0.17035101,-0.110268504,0.017988928,0
Maize,Two,100,0.5,0.9,2,0.16472811,-0.115891404,0.003141576,0
Maize,Two,100,0.5,0.9,3,0.202357417,-0.078262097,0.021541259,0
Maize,Two,100,0.5,0.9,5,0.222536938,-0.058082577,0.019334188,0
Maize,Two,100,0.5,0.9,10,0.244438243,-0.036181271,0.021473261,1.02E-07
Maize,Two,100,0.5,0.9,25,0.272138955,-0.008480559,0.011118252,0.548823353
Maize,Two,100,0.5,0.9,50,0.277520175,-0.003099339,0.005969563,0.997525972
Maize,Two,100,0.5,0.9,100,0.275520491,-0.005099024,0.005316002,0.938581356
Maize,Two,100,0.5,0.9,250,0.278550197,-0.002069317,0.003917632,0.99989592
Maize,Two,2,0.9,0.3,0,0.434764433,0,0,0
